"author.id.oape","author.id.viaf","author.name","author.birth","author.death","publication.id.oclc","word.count","character.count","article.count","author.name.transliterated"
NA,NA,NA,NA,NA,472450345,205355,895865,787,NA
396,NA,"كاظم   الدجيلي","1884","1970",472450345,37233,162076,27,"kaZm   aldjyly"
1725,9.715263606062e+19,"رزوق  عيسى","1885","1940",472450345,17303,78657,16,"rzwQ  3ysA"
647,NA,"إبراهيم  حلمي  العمر","1890","1942",472450345,20550,93124,13,"abrahym  7lmy  al3mr"
1205,NA,"إبراهيم  منيب  الباججي",NA,NA,472450345,1733,7205,13,"abrahym  mnyb  albajjy"
1845,21058435,"سليمان  الدخيل  |صاحب جريدة الرياض","1877","1945-12-28",472450345,15062,66282,10,"slyman  aldKyl  |Sa7b jryd0 alryaD"
566,NA,"محمد  الهاشمي",NA,NA,472450345,1883,7994,5,"m7md  alhaWmy"
428,NA,"محمد  باقر  الشبيبي",NA,NA,472450345,3108,14085,4,"m7md  baQr  alWbyby"
429,22006374,"محمد  رضا  الشبيبي","1889-01-01","1965-01-01",472450345,4192,18782,4,"m7md  rDa  alWbyby"
713,76496271,"جرجي  زيدان  | جرجي  زيدان","1861-12-14","1914-07-21",472450345,6863,29203,3,"jrjy  zydan  | jrjy  zydan"
1845,21058435,"سليمان  الدخيل  | سليمان  الدخيل","1877","1945-12-28",472450345,2498,10590,3,"slyman  aldKyl  | slyman  aldKyl"
2947,NA,"عراقي",NA,NA,472450345,3245,13981,3,"3raQy"
2089,NA,"عمانوئيل فتح الله عمانوئيل",NA,NA,472450345,2916,13170,3,"3manw5yl ft7 allh 3manw5yl"
3272,NA,"البر كسبرخان",NA,NA,472450345,1703,7048,2,"albr ksbrKan"
1845,21058435,"سليمان  الدخيل","1877","1945-12-28",472450345,2445,11106,2,"slyman  aldKyl"
1899,NA,"شكري الفضلي",NA,NA,472450345,3940,17834,2,"Wkry alfDly"
1980,2.67152261514217e+20,"عبد الرحمن  البناء","1882","1952",472450345,749,3174,2,"3bd alr7mn  albnaq"
3765,NA,"عبد اللطيف ثنيان",NA,NA,472450345,1047,4452,2,"3bd allTyf Unyan"
2435,NA,"محيي الدين  فيض الله  الكيلاني",NA,NA,472450345,759,3448,2,"m7yy aldyn  fyD allh  alkylany"
2446,NA,"مرج",NA,NA,472450345,2198,9918,2,"mrj"
2773,NA,"يوسف  لويس  الكرملي",NA,NA,472450345,4206,18410,2,"ywsf  lwys  alkrmly"
1023,NA,"أبو المحاسن محمد حسن",NA,NA,472450345,332,1427,1,"abw alm7asn m7md 7sn"
3052,NA,"أبي حامد الغزالي",NA,NA,472450345,1458,6539,1,"aby 7amd alGzaly"
1062,NA,"أحمد رفيق",NA,NA,472450345,1598,6956,1,"a7md rfyQ"
3227,NA,"الأب لويس الكرملي",NA,NA,472450345,1094,4876,1,"alab lwys alkrmly"
1306,NA,"الأبيل نرسيس صائغيان",NA,NA,472450345,853,3840,1,"alabyl nrsys Sa5Gyan"
3237,NA,"الأستاذ الدكتور اغناز غولدزيهر",NA,NA,472450345,175,758,1,"alastai aldktwr aGnaz Gwldzyhr"
NA,NA,"الدجيلي",NA,NA,472450345,490,2144,1,"aldjyly"
3299,NA,"الدكتورجاك آميو",NA,NA,472450345,1189,5227,1,"aldktwrjak amyw"
3021,NA,"السيد صدر الدين أبو محمد الحسن العاملي",NA,NA,472450345,121,546,1,"alsyd Sdr aldyn abw m7md al7sn al3amly"
3345,NA,"الشماس فرنسيس اوغسطين جبران",NA,NA,472450345,852,3817,1,"alWmas frnsys awGsTyn jbran"
713,76496271,"جرجي  زيدان","1861-12-14","1914-07-21",472450345,1981,7927,1,"jrjy  zydan"
418,61517780,"جميل  صدقي  الزهاوي","1863-06-18","1936-02-24",472450345,2754,12406,1,"jmyl  SdQy  alzhawy"
1616,NA,"حنا أنطون جرجس",NA,NA,472450345,1827,7780,1,"7na anTwn jrjs"
1624,NA,"حنا ميخا الرسام",NA,NA,472450345,485,2076,1,"7na myKa alrsam"
4092,NA,"داود فتو","1865","1921",472450345,732,3034,1,"dawd ftw"
227,39370998,"ساتسنا","1866-08-05","1947-01-07",472450345,238,1046,1,"satsna"
1804,NA,"سعيد كمال الدين",NA,NA,472450345,268,1148,1,"s3yd kmal aldyn"
1949,NA,"ع.ن",NA,NA,472450345,734,2991,1,"3.n"
NA,NA,"عربي متبدٍ",NA,NA,472450345,867,3758,1,"3rby mtbdٍ"
2058,NA,"عش",NA,NA,472450345,2704,12241,1,"3W"
2116,NA,"فؤاد  عبد المجيد",NA,NA,472450345,347,1503,1,"foad  3bd almjyd"
2232,NA,"ل . م",NA,NA,472450345,418,1792,1,"l . m"
NA,NA,"مثل بن ناصر الحلي",NA,NA,472450345,570,2481,1,"mUl bn naSr al7ly"
2398,NA,"محمد  فائق  الكيلاني",NA,NA,472450345,531,2298,1,"m7md  fa5Q  alkylany"
3938,NA,"محمد ابن الشيخ طاهر السماوي",NA,NA,472450345,827,3457,1,"m7md abn alWyK Tahr alsmawy"
3942,NA,"محمد باقر الشيبي",NA,NA,472450345,1105,4948,1,"m7md baQr alWyby"
2457,NA,"مسلم بغدادي",NA,NA,472450345,1475,6375,1,"mslm bGdady"
411,14924300,"معروف  الرصافي","1875-01-01","1945-01-01",472450345,820,3622,1,"m3rwf  alrSafy"
2483,NA,"منتفقي",NA,NA,472450345,1474,6468,1,"mntfQy"
2395,NA,"هبة الدين الشهرستاني |هبة الدين الشهرستاني",NA,NA,472450345,377,1730,1,"hb0 aldyn alWhrstany |hb0 aldyn alWhrstany"
4077,NA,"يعقوب نعمة الله سركيس",NA,NA,472450345,4697,19800,1,"y3Qwb n3m0 allh srkys"
2826,8440744,"يوسف  غنيمة","1885","1950",472450345,1451,6810,1,"ywsf  Gnym0"
