"referenced.periodical.title","publication.id.oclc","article.count","issue.count"
"المقتبس",4770057679,70,46
"المجلة",4770057679,35,25
"مجلة المجلات",4770057679,17,14
"المقتطف",4770057679,16,11
"المشرق",4770057679,14,12
"المنار",4770057679,14,12
"الهلال",4770057679,13,12
"العالم",4770057679,12,12
"الاقتصاديين",4770057679,7,7
"الطان",4770057679,7,7
"الطبيعة",4770057679,7,7
"العالمين",4770057679,7,7
"مجلة العالم الإسلامي",4770057679,7,6
"التربية",4770057679,6,3
"الهدى",4770057679,6,5
"الأحكام",4770057679,5,4
"التيمس",4770057679,5,5
"الجامعة",4770057679,5,4
"الديبا",4770057679,5,5
"الشرق",4770057679,5,5
"الضياء",4770057679,5,5
"العالم الإسلامي",4770057679,5,5
"العرفان",4770057679,5,4
"العلم",4770057679,5,5
"المؤيد",4770057679,5,5
"النبراس",4770057679,5,5
"الاقتصاد",4770057679,4,4
"البيان",4770057679,4,4
"الجورنال",4770057679,4,4
"الحياة",4770057679,4,4
"حديقة الأخبار",4770057679,4,3
"مقتبس",4770057679,4,3
"أدلة الترقي",4770057679,3,2
"إقدام",4770057679,3,2
"الجوائب",4770057679,3,3
"الحسناء",4770057679,3,3
"الزرقاء",4770057679,3,3
"القرن",4770057679,3,3
"المنبر",4770057679,3,3
"جريدة المقتبس",4770057679,3,3
"شهبال",4770057679,3,3
"مجلة التربية",4770057679,3,3
"مجلة العالمين",4770057679,3,3
"الآنال",4770057679,2,2
"الأفكار",4770057679,2,2
"الأهرام",4770057679,2,2
"الاجتماع",4770057679,2,2
"الباريزية",4770057679,2,2
"البريس",4770057679,2,2
"البيوت",4770057679,2,2
"التعليم",4770057679,2,2
"التواريخ",4770057679,2,2
"الجريدة",4770057679,2,2
"الحقوق",4770057679,2,2
"الحياة البيتية",4770057679,2,2
"الرئيس",4770057679,2,2
"الراوي",4770057679,2,2
"الصحة",4770057679,2,2
"الظاهر",4770057679,2,2
"العصر",4770057679,2,2
"القصر",4770057679,2,2
"الكرمل",4770057679,2,2
"الكوثر",4770057679,2,2
"الكورسبوندان",4770057679,2,2
"اللواء",4770057679,2,2
"المباحث",4770057679,2,2
"المجلة الآسياوية",4770057679,2,2
"المجلة التونسية",4770057679,2,2
"المجلة الجديدة",4770057679,2,2
"المحيط",4770057679,2,2
"المدرسة",4770057679,2,2
"المطالعات البيتية",4770057679,2,2
"المنتقد",4770057679,2,2
"النعمة",4770057679,2,2
"الورلد",4770057679,2,2
"بيروت",4770057679,2,2
"تصوير أفكار",4770057679,2,2
"ثروت فنون",4770057679,2,2
"جريدة الهدى",4770057679,2,2
"حمص",4770057679,2,2
"روضة المدارس",4770057679,2,2
"صباح",4770057679,2,2
"طبيب العائلة",4770057679,2,1
"طنين",4770057679,2,2
"مجلة الجامعة المصرية",4770057679,2,2
"مجلة الطبيعة",4770057679,2,2
"مجلة العرفان",4770057679,2,1
"مجلة العلم الاجتماعي",4770057679,2,2
"يكي غزته",4770057679,2,2
"(سالنامة) ولاية بيروت",4770057679,1,1
"Les Documents du Progrès",4770057679,1,1
"Revue Hispanique",4770057679,1,1
"Revue internationale d'éthnologie et de la linguistique",4770057679,1,1
"أرناؤود",4770057679,1,1
"أميركا الشمالية",4770057679,1,1
"إيفنن نيوز",4770057679,1,1
"اشك",4770057679,1,1
"الآثار",4770057679,1,1
"الآسياوية",4770057679,1,1
"الآورلوك",4770057679,1,1
"الأثري",4770057679,1,1
"الأخبار",4770057679,1,1
"الأرز",4770057679,1,1
"الأرض",4770057679,1,1
"الأسبوع الأدبي",4770057679,1,1
"الأفكار الحديثة",4770057679,1,1
"الأقرباء",4770057679,1,1
"الأقلام",4770057679,1,1
"الأمم",4770057679,1,1
"الأنتروبوس",4770057679,1,1
"الأوتلوك",4770057679,1,1
"الأوتو",4770057679,1,1
"الإخاء",4770057679,1,1
"الإخراجات",4770057679,1,1
"الإصلاح",4770057679,1,1
"الإقبال",4770057679,1,1
"الإنسانية",4770057679,1,1
"الإيكو دي باري",4770057679,1,1
"الإيكودي باري",4770057679,1,1
"الاتحاد",4770057679,1,1
"الاتحاد العثماني",4770057679,1,1
"الاحياء",4770057679,1,1
"الاستعمار",4770057679,1,1
"الاكونومبست أوربيين",4770057679,1,1
"الايكو",4770057679,1,1
"الايكودي باري",4770057679,1,1
"البابيروس",4770057679,1,1
"البال مال غازت",4770057679,1,1
"البتي",4770057679,1,1
"البتي باريزين",4770057679,1,1
"البتي جرنال",4770057679,1,1
"البصائر",4770057679,1,1
"البصرة",4770057679,1,1
"التربيونا",4770057679,1,1
"التنخل",4770057679,1,1
"الثبات",4770057679,1,1
"الجامعة المصرية",4770057679,1,1
"الجنان",4770057679,1,1
"الحارس",4770057679,1,1
"الحجاز",4770057679,1,1
"الحقائق",4770057679,1,1
"الحقيقة",4770057679,1,1
"الحكمة",4770057679,1,1
"الحياة البيتة",4770057679,1,1
"الدروس",4770057679,1,1
"الدولة",4770057679,1,1
"الديبيش كلونيال",4770057679,1,1
"الديلي",4770057679,1,1
"الديلي اكسبرس",4770057679,1,1
"الديلي تلغراف",4770057679,1,1
"الديلي كرونيكل",4770057679,1,1
"الديلي ميرور",4770057679,1,1
"الديلي ميل",4770057679,1,1
"الديلي نيوز",4770057679,1,1
"الرابطة",4770057679,1,1
"الريحانة",4770057679,1,1
"الزمان",4770057679,1,1
"الزهور",4770057679,1,1
"الزوراء",4770057679,1,1
"الستاندارد",4770057679,1,1
"الستندارد",4770057679,1,1
"السجلات",4770057679,1,1
"السلام",4770057679,1,1
"السنة",4770057679,1,1
"السورفي",4770057679,1,1
"الشام",4770057679,1,1
"الشتاء",4770057679,1,1
"الشرق والغرب",4770057679,1,1
"الشعراء",4770057679,1,1
"الطب",4770057679,1,1
"الطبيب",4770057679,1,1
"الظان",4770057679,1,1
"العالم الجديد",4770057679,1,1
"العالم السلامي",4770057679,1,1
"العروة",4770057679,1,1
"العروس",4770057679,1,1
"العريس",4770057679,1,1
"العصر الجديد",4770057679,1,1
"العلم العام",4770057679,1,1
